MSN,YYYYMM,Value,Column_Order,Description,Unit,Y,M
SOI7BUS,201201,0.362,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,1
SOI7BUS,201202,0.39,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,2
SOI7BUS,201203,0.537,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,3
SOI7BUS,201204,0.592,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,4
SOI7BUS,201205,0.654,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,5
SOI7BUS,201206,0.66,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,6
SOI7BUS,201207,0.692,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,7
SOI7BUS,201208,0.685,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,8
SOI7BUS,201209,0.625,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,9
SOI7BUS,201210,0.57,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,10
SOI7BUS,201211,0.467,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,11
SOI7BUS,201212,0.444,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2012,12
SOI7BUS,201301,0.461,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2013,1
SOI7BUS,201302,0.496,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2013,2
SOI7BUS,201303,0.684,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2013,3
SOI7BUS,201304,0.754,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2013,4
SOI7BUS,201305,0.832,4,Distributed Solar Energy Consumption for Electricity:  Industrial Sector,Trillion Btu,2013,5
