year,newprice,lag1,peek1,lag2,peek2,lag3,peek3,lag4,peek4,peek5,peek6,peek7,lag8,peek8,lag9,peek9,lag10,peek10,lag11,peek11,lag12,peek12
1996,2.288486168614544,6.564,5.925,6.252999999999999,5.4,6.197,4.428999999999999,5.614,4.205,3.383,3.647,5.025,4.166,5.539,4.388999999999999,6.114,5.351,6.169,5.871,6.477,6.437,6.409
1996,2.281361456542419,6.496,5.4,6.564,4.428999999999999,6.252999999999999,4.205,6.197,3.383,3.647,5.025,5.539,3.429,6.114,4.166,6.169,4.388999999999999,6.477,5.351,6.409,5.871,5.846
1996,2.269028309465203,5.925,4.428999999999999,6.496,4.205,6.564,3.383,6.252999999999999,3.647,5.025,5.539,6.114,3.697,6.169,3.429,6.477,4.166,6.409,4.388999999999999,5.846,5.351,5.327999999999999
1996,2.224623551524334,5.4,4.205,5.925,3.383,6.496,3.647,6.564,5.025,5.539,6.114,6.169,5.093,6.477,3.697,6.409,3.429,5.846,4.166,5.327999999999999,4.388999999999999,4.37
1996,2.196112848483529,4.428999999999999,3.383,5.4,3.647,5.925,5.025,6.496,5.539,6.114,6.169,6.477,5.614,6.409,5.093,5.846,3.697,5.327999999999999,3.429,4.37,4.166,4.148
1997,2.1826747963214883,4.205,3.647,4.428999999999999,5.025,5.4,5.539,5.925,6.114,6.169,6.477,6.409,6.197,5.846,5.614,5.327999999999999,5.093,4.37,3.697,4.148,3.429,3.346
1997,2.194999882314108,3.383,5.025,4.205,5.539,4.428999999999999,6.114,5.4,6.169,6.477,6.409,5.846,6.252999999999999,5.327999999999999,6.197,4.37,5.614,4.148,5.093,3.346,3.697,3.6069999999999998
1997,2.2235418856535927,3.647,5.539,3.383,6.114,4.205,6.169,4.428999999999999,6.477,6.409,5.846,5.327999999999999,6.564,4.37,6.252999999999999,4.148,6.197,3.346,5.614,3.6069999999999998,5.093,4.97
1997,2.238579763018133,5.025,6.114,3.647,6.169,3.383,6.477,4.205,6.409,5.846,5.327999999999999,4.37,6.496,4.148,6.564,3.346,6.252999999999999,3.6069999999999998,6.197,4.97,5.614,5.478
1997,2.2669579153508947,5.539,6.169,5.025,6.477,3.647,6.409,3.383,5.846,5.327999999999999,4.37,4.148,5.925,3.346,6.496,3.6069999999999998,6.564,4.97,6.252999999999999,5.478,6.197,6.047000000000001
1997,2.2935443483418965,6.114,6.477,5.539,6.409,5.025,5.846,3.647,5.327999999999999,4.37,4.148,3.346,5.4,3.6069999999999998,5.925,4.97,6.496,5.478,6.564,6.047000000000001,6.252999999999999,6.102
1997,2.2762411176544437,6.169,6.409,6.114,5.846,5.539,5.327999999999999,5.025,4.37,4.148,3.346,3.6069999999999998,4.428999999999999,4.97,5.4,5.478,5.925,6.047000000000001,6.496,6.102,6.564,6.406000000000001
1997,2.2823823856765264,6.477,5.846,6.169,5.327999999999999,6.114,4.37,5.539,4.148,3.346,3.6069999999999998,4.97,4.205,5.478,4.428999999999999,6.047000000000001,5.4,6.102,5.925,6.406000000000001,6.496,6.3389999999999995
1997,2.277267285009756,6.409,5.327999999999999,6.477,4.37,6.169,4.148,6.114,3.346,3.6069999999999998,4.97,5.478,3.383,6.047000000000001,4.205,6.102,4.428999999999999,6.406000000000001,5.4,6.3389999999999995,5.925,5.782
1997,2.2607208888953467,5.846,4.37,6.409,4.148,6.477,3.346,6.169,3.6069999999999998,4.97,5.478,6.047000000000001,3.647,6.102,3.383,6.406000000000001,4.205,6.3389999999999995,4.428999999999999,5.782,5.4,5.269
